SNAPSHOT_ID,SOURCE_ENTITY_CODE,CANONICAL_ISO2,CANONICAL_ISO3,COUNTRY_NAME,CODE_SYSTEM,ENTITY_TYPE,IS_AGGREGATE,IDENTITY_MAPPING_STATUS,INDICATOR_CODE,INDICATOR_NAME,INDICATOR_UNIT,SOURCE_ID,SOURCE_NAME,OBSERVATION_YEAR,INDICATOR_VALUE,SOURCE_LAST_UPDATED,OBSERVATION_STATUS,SOURCE_DECIMAL_PRECISION,RAW_VALUE_TEXT,RETRIEVED_AT
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2020,26.831741397,2026-07-13,\N,0,26.8317413972888,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2021,27.699068741,2026-07-13,\N,0,27.6990687414775,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2019,3105.599712427,2026-07-13,\N,1,3105.59971242672,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2020,2847.242415782,2026-07-13,\N,1,2847.24241578243,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2021,2788.167370867,2026-07-13,\N,1,2788.16737086685,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2019,188.941339836,2026-07-13,\N,2,188.941339836073,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2020,220.489941082,2026-07-13,\N,2,220.489941082419,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2021,242.815077716,2026-07-13,\N,2,242.815077715831,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2019,2.707977983,2026-07-13,\N,0,2.70797798313284,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2020,2.725608767,2026-07-13,\N,0,2.72560876675849,2026-07-29T18:04:35Z
